Service Type,Date,Predicted_Count,Lower_Bound,Upper_Bound
Local Route,2024-09-30,10394.0,5581.0,14798.0
Local Route,2024-10-01,12435.0,7877.0,16976.0
Local Route,2024-10-02,12412.0,7702.0,17087.0
Local Route,2024-10-03,12016.0,7136.0,16607.0
Local Route,2024-10-04,11376.0,6666.0,15989.0
Local Route,2024-10-05,1230.0,0.0,5819.0
Local Route,2024-10-06,492.0,0.0,4953.0
Light Rail,2024-09-30,7525.0,4797.0,10084.0
Light Rail,2024-10-01,8733.0,6094.0,11239.0
Light Rail,2024-10-02,8691.0,6124.0,11127.0
Light Rail,2024-10-03,8471.0,5811.0,10967.0
Light Rail,2024-10-04,8448.0,5975.0,10957.0
Light Rail,2024-10-05,4678.0,2008.0,7203.0
Light Rail,2024-10-06,3323.0,754.0,5975.0
Peak Service,2024-09-30,234.0,126.0,346.0
Peak Service,2024-10-01,283.0,169.0,401.0
Peak Service,2024-10-02,276.0,162.0,390.0
Peak Service,2024-10-03,243.0,132.0,369.0
Peak Service,2024-10-04,186.0,80.0,299.0
Peak Service,2024-10-05,0.0,0.0,73.0
Peak Service,2024-10-06,0.0,0.0,79.0
Rapid Route,2024-09-30,13571.0,8523.0,18360.0
Rapid Route,2024-10-01,15939.0,11363.0,20867.0
Rapid Route,2024-10-02,15804.0,10920.0,20479.0
Rapid Route,2024-10-03,15301.0,10254.0,20392.0
Rapid Route,2024-10-04,14380.0,9725.0,19283.0
Rapid Route,2024-10-05,5414.0,543.0,10447.0
Rapid Route,2024-10-06,4141.0,0.0,9392.0
School,2024-09-30,1452.0,0.0,4420.0
School,2024-10-01,1851.0,0.0,4771.0
School,2024-10-02,1783.0,0.0,4481.0
School,2024-10-03,1568.0,0.0,4443.0
School,2024-10-04,1382.0,0.0,4192.0
School,2024-10-05,0.0,0.0,924.0
School,2024-10-06,0.0,0.0,1345.0
